ID,Género,Grupo Étnico,Nivel Educativo Padres,Tipo De Almuerzo,Preparación Para Examen,Nota Matemáticas,Nota Lectura,Nota Escritura,Estado Civil Padres,Práctica Deportiva,Medio De Transporte,Horas De Estudio Semanal
1,female,group B,bachelor's degree,standard,none,72,72,74,married,regularly,school_bus,< 5
2,female,group C,some college,standard,completed,69,90,88,married,sometimes,walking,5 - 10
3,female,group B,master's degree,standard,none,90,95,93,single,sometimes,school_bus,< 5
4,male,group A,associate's degree,free/reduced,none,47,57,44,married,never,walking,5 - 10
5,male,group C,some college,standard,none,76,78,75,married,sometimes,school_bus,5 - 10
6,female,group B,associate's degree,standard,none,71,83,78,married,regularly,school_bus,5 - 10
7,female,group B,some college,standard,completed,88,95,92,widowed,never,private,5 - 10
8,male,group B,some college,free/reduced,none,40,43,39,married,sometimes,private,> 10
9,male,group D,high school,free/reduced,completed,64,64,67,single,sometimes,private,> 10
10,female,group B,high school,free/reduced,none,38,60,50,married,regularly,private,< 5
11,male,group C,associate's degree,standard,none,58,54,52,not specified,sometimes,private,5 - 10
12,male,group D,associate's degree,standard,none,40,52,43,divorced,sometimes,school_bus,5 - 10
13,female,group B,high school,standard,none,65,81,73,married,regularly,private,5 - 10
14,male,group A,some college,standard,completed,78,72,70,single,sometimes,private,> 10
15,female,group A,master's degree,standard,none,50,53,58,divorced,sometimes,private,< 5
16,female,group C,some high school,standard,none,69,75,78,married,sometimes,private,5 - 10
17,male,group C,high school,standard,none,88,89,86,married,sometimes,school_bus,5 - 10
18,female,group B,some high school,free/reduced,none,18,32,28,divorced,sometimes,school_bus,5 - 10
19,male,group C,master's degree,free/reduced,completed,46,42,46,single,sometimes,private,5 - 10
20,female,group C,associate's degree,free/reduced,none,54,58,61,married,never,private,< 5
21,male,group D,high school,standard,none,66,69,63,married,sometimes,school_bus,5 - 10
22,female,group B,some college,free/reduced,completed,65,75,70,married,sometimes,school_bus,5 - 10
23,male,group D,some college,standard,none,44,54,53,married,never,walking,5 - 10
24,female,group C,some high school,standard,none,69,73,73,divorced,never,walking,5 - 10
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80,married,sometimes,school_bus,5 - 10
26,male,group A,master's degree,free/reduced,none,73,74,72,married,regularly,school_bus,5 - 10
27,male,group B,some college,standard,none,69,54,55,married,sometimes,school_bus,< 5
28,female,group C,bachelor's degree,standard,none,67,69,75,married,sometimes,school_bus,> 10
29,male,group C,high school,standard,none,70,70,65,married,sometimes,private,5 - 10
30,female,group D,master's degree,standard,none,62,70,75,single,sometimes,private,< 5
31,female,group D,some college,standard,none,69,74,74,single,sometimes,walking,5 - 10
32,female,group B,some college,standard,none,63,65,61,divorced,sometimes,school_bus,5 - 10
33,female,group E,master's degree,free/reduced,none,56,72,65,married,sometimes,private,5 - 10
34,male,group D,some college,standard,none,40,42,38,divorced,sometimes,school_bus,5 - 10
35,male,group E,some college,standard,none,97,87,82,single,sometimes,school_bus,5 - 10
36,male,group E,associate's degree,standard,completed,81,81,79,married,regularly,private,5 - 10
37,female,group D,associate's degree,standard,none,74,81,83,married,regularly,private,5 - 10
38,female,group D,some high school,free/reduced,none,50,64,59,married,regularly,school_bus,5 - 10
39,female,group D,associate's degree,free/reduced,completed,75,90,88,single,regularly,school_bus,5 - 10
40,male,group B,associate's degree,free/reduced,none,57,56,57,married,never,school_bus,5 - 10
41,male,group C,associate's degree,free/reduced,none,55,61,54,divorced,regularly,walking,5 - 10
42,female,group C,associate's degree,standard,none,58,73,68,married,regularly,school_bus,5 - 10
